date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:27	42406/42406	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2015:05:26%20GMT	https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209	/home/kumartej/websites/fishing1/demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index6aac.html	(from )
20:35:29	1002/1002	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2015:05:29%20GMT	https://demo.w3layouts.com/robots.txt		(from )
20:35:29	141622/141622	---M-Z	200	added ('OK')	text/css	etag:%221505847612%22	https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/bootstrap.css	/home/kumartej/websites/fishing1/demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209)
20:35:30	4699/4699	---M-Z	200	added ('OK')	text/css	etag:%221505847612%22	https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/easy-responsive-tabs.css	/home/kumartej/websites/fishing1/demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/easy-responsive-tabs.css	(from https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209)
20:35:31	6190/6190	---M-Z	200	added ('OK')	text/css	etag:%221505847612%22	https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/galleryeffect.css	/home/kumartej/websites/fishing1/demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/galleryeffect.css	(from https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209)
20:35:32	47089/47089	---M-Z	200	added ('OK')	text/css	etag:%221505847612%22	https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/style.css	/home/kumartej/websites/fishing1/demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/style.css	(from https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209)
20:35:33	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%221505847612%22	https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/font-awesome.css	/home/kumartej/websites/fishing1/demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/css/font-awesome.css	(from https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209)
20:35:35	416/416	---MC-	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202022%2015:05:34%20GMT	http://fonts.googleapis.com/css?family=Montserrat:400,700	/home/kumartej/websites/fishing1/fonts.googleapis.com/csse3e5.css	(from https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209)
20:35:35	2465/2465	---MC-	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202022%2015:05:35%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic	/home/kumartej/websites/fishing1/fonts.googleapis.com/cssaa44.css	(from https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209)
20:35:37	67568/67568	---MCZ	200	added ('OK')	application/javascript	etag:W/%224896c8077f50520418d4d1ab293b6545%22	http://m.servedby-buysellads.com/monetization.js	/home/kumartej/websites/fishing1/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/31-03-2017/fishing-demo_Free/1166840385/web/index.html?_gl=1*1jpgn3w*_ga*MTEyMjMzNjc4OC4xNjYzNjQ4MjA5*_ga_EGV5GTJEP5*MTY2NDgwOTQxOC4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..*_ga_9HSZ46TKMQ*MTY2NDgwOTQyMi4zLjEuMTY2NDgwOTQ0MC4wLjAuMA..&_ga=2.257788875.1122845060.1664809423-1122336788.1663648209)
